,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
92,Naruto Shippuden: Ultimate Ninja Storm 4,2016,Fighting,Namco Bandai Games,710000,470000,120000,240000,1540000
93,NBA 2K14,2013,Sports,2K Sports,910000,350000,10000,270000,1540000
94,Tomb Raider (2013),2014,Action-Adventure,Square Enix,470000,740000,60000,230000,1510000
95,Dragon Ball: Xenoverse 2,2016,Action,Namco Bandai Games,540000,590000,140000,230000,1500000
96,Dragon Ball Fighter Z,2018,Fighting,Namco Bandai Games,610000,510000,120000,230000,1460000
97,The Sims 4,2017,Simulation,Electronic Arts,440000,720000,10000,220000,1390000
98,Street Fighter V,2016,Fighting,Capcom,640000,420000,120000,220000,1390000
99,Wolfenstein II: The New Colossus,2017,Shooter,Bethesda Softworks,550000,580000,10000,220000,1360000
100,Lego Star Wars: The Force Awakens,2016,Action-Adventure,Warner Bros. Interactive Entertainment,300000,780000,20000,200000,1310000
101,The Last Guardian,2016,Action-Adventure,Sony Interactive Entertainment,400000,580000,130000,190000,1290000
102,Borderlands: The Handsome Collection,2015,Shooter,2K Games,690000,340000,30000,220000,1280000
103,Project CARS,2015,Racing,Bandai Namco Games,290000,760000,40000,190000,1280000
104,Metal Gear Solid: Ground Zeroes,2014,Action-Adventure,Konami Digital Entertainment,360000,500000,170000,170000,1200000
105,Mad Max (2013),2015,Action,Warner Bros. Interactive Entertainment,380000,590000,50000,190000,1200000
106,Shadow of the Colossus,2018,Action-Adventure,Sony Interactive Entertainment,440000,520000,50000,190000,1200000
107,Kingdom Hearts HD 2.8 Final Chapter Prologue,2017,Role-Playing,Square Enix,570000,250000,200000,170000,1200000
108,Dragon Ball: XenoVerse,2015,Fighting,Namco Bandai Games,330000,550000,140000,170000,1190000
109,LEGO Jurassic World,2015,Action,Warner Bros. Interactive Entertainment,410000,560000,20000,190000,1180000
110,LEGO Worlds,2017,Misc,Warner Bros. Interactive Entertainment,210000,720000,40000,170000,1140000
111,The Elder Scrolls V: Skyrim PSVR,2017,Role-Playing,Bethesda Softworks,470000,470000,10000,190000,1130000
112,EA Sports UFC,2014,Fighting,Electronic Arts,490000,430000,10000,180000,1110000
113,Final Fantasy XII: The Zodiac Age,2017,Role-Playing,Square Enix,370000,410000,160000,150000,1100000
114,Alien: Isolation,2014,Adventure,Sega,290000,590000,50000,160000,1090000
115,The Evil Within II,2017,Action,Bethesda Softworks,310000,490000,90000,150000,1050000
116,Prey (2017),2017,Shooter,Bethesda Softworks,250000,620000,20000,160000,1040000
117,Final Fantasy Type-0,2015,Role-Playing,Square Enix,400000,330000,160000,150000,1040000
118,Ni-Oh,2017,Action,Tecmo Koei,340000,360000,200000,140000,1030000
